x,y,Topic,Length
7.270202,3.4495835,1,204
8.866069,5.7784376,3,1345
6.593216,4.2056556,1,1063
5.2988615,9.454485,6,1355
7.3979335,4.2261047,1,869
5.0657663,1.3096194,29,734
7.2905364,3.5831652,1,1041
6.1072893,2.361801,3,981
7.405967,3.4654627,1,362
4.1324763,4.847446,58,571
5.4875793,2.7503614,17,1580
4.1326337,3.4772553,23,629
4.154192,4.7398834,58,1700
5.3583975,9.437931,6,420
7.399305,3.4522862,1,606
2.167225,6.7755675,4,821
2.9168491,5.3855376,10,1551
7.186585,3.6599786,1,480
1.7177168,2.8846316,2,672
7.3636017,3.4284058,1,466
7.2948093,3.6153216,1,573
2.2052577,6.812837,4,353
5.23292,9.387728,6,1035
1.7617344,3.051957,2,844
1.9240355,6.517505,4,1131
1.7016176,2.8792455,2,1255
5.3554354,9.454723,6,881
4.084222,4.2252355,55,586
5.2269883,9.558966,6,911
8.094333,1.5879624,11,418
8.166985,4.1452026,8,690
9.360752,6.1137247,3,1360
7.328404,3.7817357,1,456
6.947801,3.5604026,1,768
7.40939,3.427989,1,141
4.3918204,-0.14194547,0,364
5.5780807,1.3726808,31,615
5.3056183,9.452792,6,1003
9.3499155,5.8207965,3,908
9.485606,-2.5285478,16,304
2.2402463,-3.5974667,12,633
0.3536161,7.9109774,16,415
4.156704,4.7189384,58,917
7.2807684,4.0580673,1,398
5.408012,5.547696,26,787
5.3343787,9.476892,6,1405
6.9543,3.9548488,1,178
1.7278533,2.8804495,2,1221
6.6464653,3.620558,1,562
7.277522,3.4028993,1,1334
6.878542,3.6957567,1,747
2.945514,-0.45891374,0,417
8.388415,2.0078046,11,779
1.8004626,6.7997775,4,908
5.31605,9.460225,6,1462
3.1550279,6.541459,4,1384
2.0909467,6.6234665,4,481
5.300062,9.467201,6,445
7.41756,3.696295,1,491
4.0413833,3.396505,23,1765
2.2221298,6.734849,4,1470
0.35743222,8.4455385,16,465
1.7079759,2.8635104,2,861
5.419523,9.5373,6,1029
5.402913,9.421218,6,708
6.9985485,3.694001,1,436
4.441827,4.866709,38,727
6.683708,4.066896,1,453
1.5955038,2.8182435,2,791
5.3216124,9.464936,6,1362
7.5913334,3.6322196,1,430
8.372698,2.0794044,11,745
3.3835278,6.3307285,4,995
5.3251266,9.536806,6,1107
1.8555117,7.314217,4,521
-0.9071338,9.61948,19,814
8.341846,3.570869,1,467
5.3061943,9.488575,6,1026
4.171977,4.7237434,58,776
1.547906,7.068261,4,197
9.526077,5.9840775,3,540
4.915456,9.542874,6,833
0.81544787,7.026749,4,1134
2.2247667,6.713685,4,752
5.3479557,9.450466,6,554
2.8364758,2.4724123,2,705
1.5309771,6.8689837,4,400
0.7709064,6.6423674,4,1349
6.7434707,4.075006,1,392
9.305426,5.7325506,3,785
7.421463,3.4903693,1,952
6.040537,-0.83798057,20,909
2.364646,2.718273,2,938
0.9435927,7.1753197,24,3190
-1.5940149,9.41322,19,476
1.6998178,2.8670301,2,845
2.8125825,6.43261,4,649
1.37499,6.9838653,4,444
6.7200937,4.363353,1,826
6.473645,4.1994753,1,940
8.8058605,5.3208475,53,379
8.792085,3.4720256,60,1081
4.5456347,5.031925,38,979
7.6203823,3.339854,1,300
1.8581954,3.2343042,2,670
7.4707327,3.3976607,1,500
0.30040753,8.489796,16,1316
5.3244247,9.487064,6,714
2.2405548,-3.5975235,12,819
6.2560782,4.165174,1,2138
5.9923725,4.0851703,1,779
2.7787962,6.239431,54,889
4.5847797,4.9959188,38,847
0.3341853,8.741113,16,1066
4.661716,4.9827456,38,1091
1.5238833,6.8237386,4,1073
4.6197934,4.916679,38,528
5.4053774,5.472142,26,809
6.158278,3.6278443,1,260
1.0845851,8.539969,43,349
4.140439,4.6811786,58,420
7.3357935,2.8774316,41,1309
5.204372,9.556719,6,1217
4.2343874,4.9463162,58,1082
4.0884414,4.7209105,58,361
0.9444869,8.989106,43,493
4.183014,4.715035,58,908
4.957257,9.375282,6,1276
2.2750416,6.3077555,4,893
1.3089173,7.08858,4,832
4.170035,4.6725793,58,864
8.639951,5.9767632,17,266
6.626119,4.260316,1,337
